page_marker;row_no;material;alias;regime;property;value;unit;effect;source;raw_comment
PAGE 3;122;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 3;123;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 3;124;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Центр механических испытаний ЦМИ-4;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 3;125;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 3;126;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 3;127;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 3;128;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Лаборатория термообработки ЛТ-2;"Для  материала  15-5PH  при  режиме  старение  зафиксировано  свойство  «твeрдocть»:  42  HRC;  эффект  указан  как  increase."
PAGE 3;129;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 3;130;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Отдел металлографии ОМГ-3;"For Ti-6Al-4V, annealing produced ultimate tensile strength = 980 MPa; the reported effect was increase."
PAGE 3;131;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 3;132;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 3;133;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Лаборатория термообработки ЛТ-2;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 3;134;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
